RELATÓRIO SICO CONSULTA EXTERNA - INFORMAÇÕES DE CONTAS ANALÍTICAS 
Data da Geração:21/06/2026
Tipo de Eleição: Partidária Anual 
Tipo de Direção Partidária: Direção Nacional

Número CNPJ; Número do Partido; Partido; Órgão / Candidato; Cargo; Tipo; Eleição / Exercício; UF/Localidade; Zona; Situação; Data do Lançamento; Tipo de Julgamento; Espécie da Decisão; Número Documento da Decisão; Nº Protocolo SADP/PJe; Data Protocolo; Data da Publicação; Data do Trânsito em Julgado; Início Suspensão; Fim Suspensão; Desconto; Multa; Recolhimento ao Erário; Redução de Repasse
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96632014' ;30/04/2014;;;;;-;-;-;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;20/09/2019;Aprovada com ressalvas;Acórdão;'317042014' ;'-' ;;03/05/2019;09/09/2019;;;-;-;15289.15;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96282014' ;30/04/2014;;;;;-;-;-;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;11/06/2019;Aprovada com ressalvas;Acórdão;'309272014' ;'-' ;;28/05/2019;07/06/2019;;;-;-;-;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'93642014' ;28/04/2014;;;;;-;-;-;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;06/03/2025;Aprovada com ressalvas;Decisão Monocrática;'0000283-29.2014.6.00' ;'-' ;;24/02/2025;27/02/2025;;;-;-;-;Não;
'08950803000119' ;51;PATRI / PATRIOTA / PEN;Direção Nacional - PATRI;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96252014' ;30/04/2014;;;;;-;-;-;Não;
'08950803000119' ;51;PATRI / PATRIOTA / PEN;Direção Nacional - PATRI;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;30/05/2019;Aprovada com ressalvas;Decisão Monocrática;'307572014' ;'-' ;;21/03/2019;10/05/2019;;;-;-;-;Não;
'18532307000107' ;77;SD / SDD / SOLIDARIEDADE;Direção Nacional - SOLIDARIEDADE;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'96452014' ;30/04/2014;;;;;-;-;-;Não;
'18532307000107' ;77;SD / SDD / SOLIDARIEDADE;Direção Nacional - SOLIDARIEDADE;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;14/08/2019;Aprovada com ressalvas;Acórdão;'313642014' ;'-' ;;13/06/2019;01/07/2019;;;-;-;480.5;Não;
'12952205000156' ;90;PROS;Direção Nacional - PROS;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Em trâmite;05/05/2014;-;-;'-' ;'94952014' ;29/04/2014;;;;;-;-;-;Não;
'12952205000156' ;90;PROS;Direção Nacional - PROS;-;Prestação de contas partidárias anuais;2013;BR - BRASIL;-;Julgada;20/09/2018;Aprovada com ressalvas;Decisão Monocrática;'28936' ;'-' ;;10/09/2018;19/09/2018;;;-;-;-;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8783/2015' ;30/04/2015;;;;;-;-;-;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;20/09/2023;Desaprovada;Decisão Monocrática;'141354188' ;'-' ;;23/03/2020;03/02/2022;;;-;-;90369.65;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8797/2015' ;30/04/2015;;;;;-;-;-;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;31/10/2023;Desaprovada;Acórdão;'54976638' ;'-' ;;25/11/2020;05/08/2022;;;-;-;1476557.98;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8784/2015' ;30/04/2015;;;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;14/04/2026;Desaprovada;Acórdão;'28861938' ;'-' ;;19/06/2020;18/03/2022;;;-;-;290423.31;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8368/2015' ;27/04/2015;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;11/09/2023;Desaprovada;Acórdão;'239-73' ;'-' ;;21/05/2020;05/04/2021;01/09/2021;31/01/2022;-;-;1519361.43;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;27/05/2024;-;-;'-' ;'0000250052015' ;20/03/2022;;;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;27/05/2024;Prescrição;Acórdão;'159515721' ;'-' ;;06/10/2023;13/10/2023;;;-;-;-;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8489/2015' ;28/04/2015;;;;;-;-;-;Não;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8755/2015' ;30/04/2015;;;;;-;-;-;Não;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;06/09/2023;Desaprovada;Acórdão;'262-19' ;'-' ;;24/08/2020;12/10/2022;01/01/2023;28/02/2023;-;-;330872.03;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - MDB;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8759/2015' ;30/04/2015;;;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - MDB;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;14/09/2023;Aprovada com ressalvas;Acórdão;'29722888' ;'-' ;;25/08/2020;29/03/2023;;;-;-;1269602.05;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8568/2015' ;29/04/2015;;;;;-;-;-;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;05/09/2023;Desaprovada;Acórdão;'24495' ;'-' ;;21/05/2020;14/06/2022;;;156895.58;-;843098.48;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8804/2015' ;30/04/2015;;;;;-;-;-;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;10/04/2023;Aprovada com ressalvas;Decisão Monocrática;'270-93' ;'-' ;;23/03/2020;21/10/2022;;;-;-;638198.37;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - PPS;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8747/2015' ;30/04/2015;;;;;-;-;-;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - PPS;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;10/03/2022;Desaprovada;Acórdão;'0000260492015000000' ;'-' ;;29/04/2020;18/09/2021;22/12/2021;;-;-;1857028.79;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'7538/2015' ;15/04/2015;;;;;-;-;-;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;30/08/2021;Aprovada com ressalvas;Decisão Monocrática;'00002110820156000000' ;'-' ;;25/03/2020;15/04/2021;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8606/2015' ;29/04/2015;;;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;19/04/2024;Aprovada com ressalvas;Acórdão;'247-50' ;'-' ;;05/12/2023;11/12/2023;;;-;-;36767.49;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'7728/2015' ;17/04/2015;;;;;-;-;-;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;08/09/2023;Desaprovada;Acórdão;'218-97' ;'-' ;;03/03/2020;31/08/2022;01/01/2023;31/01/2023;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8687/2015' ;30/04/2015;;;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;31/05/2023;Desaprovada;Acórdão;'253-57' ;'-' ;;19/06/2020;30/03/2022;;;-;-;112608.77;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8058/2015' ;23/04/2015;;;;;-;-;-;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;22/05/2023;Aprovada com ressalvas;Acórdão;'226-74' ;'-' ;;20/06/2020;29/04/2022;;;-;-;165519.06;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8809/2015' ;30/04/2015;;;;;-;-;-;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;18/03/2025;Aprovada com ressalvas;Acórdão;'157518862' ;'8806/2015' ;30/04/2015;17/05/2022;17/12/2024;;;-;-;364631.52;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - PSDC;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8621/2015' ;29/04/2015;;;;;-;-;-;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - PSDC;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;14/09/2023;Desaprovada;Acórdão;'28851688' ;'-' ;;16/06/2020;02/02/2021;;;-;-;339977.22;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8796/2015' ;30/04/2015;;;;;-;-;-;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;16/09/2024;Desaprovada;Acórdão;'265-71' ;'-' ;;30/06/2020;15/08/2023;;;-;-;243031.38;Sim;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8275/2015' ;27/04/2015;;;;;-;-;-;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;24/09/2021;Desaprovada;Acórdão;'0000237062015000000' ;'-' ;;09/06/2020;22/04/2021;22/09/2021;22/12/2021;-;-;1021545.66;Não;
'73282907000245' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8577/2015' ;29/04/2015;;;;;-;-;-;Não;
'73282907000245' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;11/04/2023;Aprovada com ressalvas;Acórdão;'245-80' ;'-' ;;12/03/2021;06/05/2022;;;-;-;77459;Não;
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8726/2015' ;30/04/2015;;;;;-;-;-;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8658/2015' ;29/04/2015;;;;;-;-;-;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;06/09/2023;Desaprovada;Acórdão;'25187' ;'-' ;;09/06/2020;15/10/2022;;;-;-;18125.05;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - AVANTE;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8694/2015' ;30/04/2015;;;;;-;-;-;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - AVANTE;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;26/04/2023;Desaprovada;Acórdão;'254-42.2015.6.00.000' ;'-' ;;09/06/2020;23/02/2022;20/01/2023;20/02/2023;-;-;27454.48;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PODE;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8715/2015' ;30/04/2015;;;;;-;-;-;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PODE;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;10/12/2020;Desaprovada;Acórdão;'256-12' ;'-' ;;23/04/2020;08/10/2020;;;-;-;209365.98;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8794/2015' ;30/04/2015;;;;;-;-;-;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;20/09/2023;Aprovada com ressalvas;Acórdão;'28870388' ;'-' ;;20/05/2020;02/09/2022;;;-;-;691027.33;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8168/2015' ;24/04/2015;;;;;-;-;-;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;09/03/2020;Aprovada;Decisão Monocrática;'230-14' ;'-' ;;27/02/2020;06/03/2020;;;-;-;-;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;21/05/2025;Aprovada com ressalvas;Decisão Monocrática;'163714445' ;'8639/2015' ;29/04/2015;13/05/2025;16/05/2025;;;-;-;270000;Não;
'08950803000119' ;51;PATRI / PATRIOTA / PEN;Direção Nacional - PEN;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8716/2015' ;30/04/2015;;;;;-;-;-;Não;
'08950803000119' ;51;PATRI / PATRIOTA / PEN;Direção Nacional - PEN;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;06/09/2023;Desaprovada;Acórdão;'257-94' ;'-' ;;22/06/2020;27/05/2022;;;-;-;-;Não;
'18532307000107' ;77;SD / SDD / SOLIDARIEDADE;Direção Nacional - SOLIDARIEDADE;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8705/2015' ;30/04/2015;;;;;-;-;-;Não;
'18532307000107' ;77;SD / SDD / SOLIDARIEDADE;Direção Nacional - SOLIDARIEDADE;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;30/08/2021;Aprovada com ressalvas;Acórdão;'00002552720156000000' ;'-' ;;20/04/2020;22/02/2021;;;-;-;67462.28;Não;
'12952205000156' ;90;PROS;Direção Nacional - PROS;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Em trâmite;22/05/2015;-;-;'-' ;'8608/2015' ;29/04/2015;;;;;-;-;-;Não;
'12952205000156' ;90;PROS;Direção Nacional - PROS;-;Prestação de contas partidárias anuais;2014;BR - BRASIL;-;Julgada;07/10/2021;Aprovada com ressalvas;Acórdão;'00002466520156000000' ;'-' ;;12/03/2020;15/04/2021;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;28/10/2024;-;-;'-' ;'06017611820176000000' ;27/04/2017;;;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;28/10/2024;Desaprovada;Acórdão;'157484495' ;'-' ;;11/05/2022;17/04/2024;;;-;-;2260979.15;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060186085' ;02/05/2017;;;;;-;-;-;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;29/09/2023;Desaprovada;Acórdão;'153449588' ;'-' ;;13/09/2021;17/09/2021;;;-;-;185385.48;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060182880' ;29/04/2017;;;;;-;-;-;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;09/05/2022;Aprovada com ressalvas;Acórdão;'0601828-80' ;'-' ;;26/11/2021;02/05/2022;;;-;-;718918.57;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060175341' ;26/04/2017;;;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;12/12/2020;Conta não prestada;Acórdão;'427-32' ;'-' ;;05/08/2020;10/08/2020;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060172743' ;25/04/2017;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;31/10/2023;Desaprovada;Acórdão;'157386885' ;'-' ;;31/03/2022;03/08/2022;;;-;-;2097473.8;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060176203' ;27/04/2017;;;;;-;-;-;Não;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060176033' ;27/04/2017;;;;;-;-;-;Não;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;28/10/2024;Desaprovada;Acórdão;'157453602' ;'-' ;;22/04/2022;03/05/2024;;;-;-;1238677.47;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - PMDB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060174042' ;26/04/2017;;;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - PMDB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;22/05/2023;Aprovada com ressalvas;Acórdão;'157518870' ;'-' ;;18/05/2022;05/08/2022;;;-;-;723370.18;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060172828' ;25/04/2017;;;;;-;-;-;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;26/08/2022;Desaprovada;Acórdão;'153443038' ;'-' ;;13/09/2021;03/08/2022;;;-;279113.88;1870331.15;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060185041' ;02/05/2017;;;;;-;-;-;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - PPS;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;11/09/2024;Desaprovada;Acórdão;'156973288' ;'060185903' ;02/05/2017;09/11/2021;10/05/2024;;;-;-;303691.04;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060174212' ;26/04/2017;;;;;-;-;-;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;18/02/2022;Aprovada com ressalvas;Decisão Monocrática;'06017421220176000000' ;'-' ;;03/02/2022;11/02/2022;;;-;-;241547.87;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060176725' ;28/04/2017;;;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;17/12/2024;Desaprovada;Acórdão;'153443288' ;'-' ;;22/09/2021;23/08/2024;;;-;-;219462.37;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;31/10/2023;Desaprovada;Acórdão;'141843688' ;'060175256' ;26/04/2017;03/08/2021;28/03/2023;;;-;-;156755.03;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060168239' ;23/04/2017;;;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;22/05/2023;Desaprovada;Acórdão;'157484281' ;'-' ;;11/05/2022;12/09/2022;;;-;230341.89;1535612.6;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060164864' ;18/04/2017;;;;;-;-;-;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;31/10/2023;Desaprovada;Acórdão;'157575544' ;'-' ;;23/06/2022;26/08/2022;;;61116.48;-;1746185.07;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060182528' ;28/04/2017;;;;;-;-;-;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;31/01/2024;Desaprovada;Acórdão;'ID. 157547268' ;'-' ;;17/06/2022;20/09/2023;;;-;332684.07;4158550.98;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060176555' ;27/04/2017;;;;;-;-;-;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - DC;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060183135' ;01/05/2017;;;;;-;-;-;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - DC;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;09/11/2023;Desaprovada;Acórdão;'157499928' ;'-' ;;10/06/2022;19/09/2022;;;19230.31;-;274718.85;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060185563' ;02/05/2017;;;;;-;-;-;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;30/06/2023;Desaprovada;Acórdão;'157486516' ;'-' ;;10/05/2022;03/02/2023;;;-;145642.02;970946.81;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060182443' ;28/04/2017;;;;;-;-;-;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;10/11/2023;Desaprovada;Acórdão;'157467620' ;'-' ;;29/04/2022;02/03/2023;;;165833.24;-;1381943.69;Não;
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060185211' ;02/05/2017;;;;;-;-;-;Não;
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;06/09/2023;Desaprovada;Acórdão;'42210' ;'-' ;;14/12/2020;01/07/2022;;;-;-;100000;Não;
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/06/2025;-;-;'-' ;'06017638520176000000' ;27/04/2017;;;;;-;-;-;Não;
