RELATÓRIO SICO CONSULTA EXTERNA - INFORMAÇÕES DE CONTAS ANALÍTICAS 
Data da Geração:21/06/2026
Tipo de Eleição: Partidária Anual 
Tipo de Direção Partidária: Direção Nacional

Número CNPJ; Número do Partido; Partido; Órgão / Candidato; Cargo; Tipo; Eleição / Exercício; UF/Localidade; Zona; Situação; Data do Lançamento; Tipo de Julgamento; Espécie da Decisão; Número Documento da Decisão; Nº Protocolo SADP/PJe; Data Protocolo; Data da Publicação; Data do Trânsito em Julgado; Início Suspensão; Fim Suspensão; Desconto; Multa; Recolhimento ao Erário; Redução de Repasse
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;24/11/2018;Aprovada com ressalvas;Acórdão;'78218' ;'-' ;;02/08/2016;15/08/2016;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'95362011' ;02/05/2011;;;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;04/03/2017;Aprovada com ressalvas;Acórdão;'90516' ;'-' ;;19/12/2016;20/02/2017;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'95762011' ;02/05/2011;;;;;-;-;-;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'94762011' ;29/04/2011;;;;;-;-;-;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;23/11/2015;Aprovada com ressalvas;Acórdão;'79347' ;'-' ;;29/10/2015;12/11/2015;;;-;-;-;Não;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'95842011' ;02/05/2011;;;;;-;-;-;Não;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;01/09/2016;Aprovada com ressalvas;Decisão Monocrática;'80731' ;'-' ;;25/04/2016;02/08/2016;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - PMDB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'95672011' ;02/05/2011;;;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - PMDB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;09/09/2016;Aprovada com ressalvas;Acórdão;'79869' ;'-' ;;19/05/2016;19/08/2016;;;-;-;-;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'95492011' ;02/05/2011;;;;;-;-;-;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;09/08/2019;Desaprovada;Acórdão;'894842011' ;'-' ;;03/06/2016;23/05/2019;24/06/2019;24/01/2020;-;1497;1387421.9;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'91132011' ;27/04/2011;;;;;-;-;-;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;05/08/2019;Aprovada com ressalvas;Acórdão;'78303' ;'-' ;;04/05/2016;03/02/2017;;;-;-;1243372.38;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - PPS;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'93902011' ;29/04/2011;;;;;-;-;-;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - PPS;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;05/12/2017;Desaprovada;Decisão Monocrática;'784852011' ;'-' ;;04/05/2016;15/02/2017;16/03/2017;16/04/2017;-;0;957409.6;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'94532011' ;29/04/2011;;;;;-;-;-;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;12/06/2014;Aprovada com ressalvas;Decisão Monocrática;'90868' ;'-' ;;13/05/2014;06/06/2014;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'84422011' ;18/04/2011;;;;;-;-;-;Não;
